month,TigacellID,prob_l95,prob_median,prob_u95,sd
10,-0.05_38.55,0,0.012,0.167,0.0535404810997329
10,-0.05_38.6,0.005,0.05,0.242024999999998,0.0640135312426412
10,-0.05_38.75,0,0.011,0.14,0.0403418693139655
10,-0.05_38.85,0,0.01,0.111,0.0329852782002815
10,-0.05_39.95,0.017,0.094,0.35,0.0882696031293906
10,-0.05_40,0,0.01,0.11,0.0319088443891118
10,-0.05_40.05,0,0.013,0.176,0.0544829533074445
10,-0.05_40.1,0.002,0.025,0.149,0.0403375455337684
10,-0.05_40.95,0,0.011,0.182,0.0546584841463849
10,-0.05_41.5,0,0.012,0.177,0.0589484168084863
10,-0.05_42.1,0,0.012,0.166,0.0505683263402066
10,-0.15_38.5,0,0.009,0.095,0.027840556106533
10,-0.15_38.55,0.002,0.027,0.154,0.0443933712931204
10,-0.15_38.6,0,0.012,0.187,0.0575769562375091
10,-0.15_38.75,0,0.012,0.159,0.0501885198582423
10,-0.15_38.8,0,0.01,0.123,0.0366401291148158
10,-0.15_38.85,0,0.01,0.119,0.0365166512705791
10,-0.15_38.9,0,0.013,0.09,0.0257659811240196
10,-0.15_38.95,0.005,0.047,0.205,0.0538997155118791
10,-0.15_39.75,0,0.01,0.127,0.0392252607929685
10,-0.15_39.8,0,0.011,0.126,0.0384949159816215
10,-0.15_39.85,0,0.01,0.11,0.032957735063888
10,-0.15_39.9,0.004,0.045,0.209,0.0549914645807907
10,-0.15_39.95,0.002,0.026,0.153,0.042273712941047
10,-0.15_40,0,0.011,0.126,0.037189977087045
10,-0.15_40.6,0,0.01,0.124,0.0364731268473279
10,-0.15_41,0,0.011,0.132,0.0411809603866111
10,-0.15_42.45,0,0.012,0.186,0.0530568571509423
10,-0.15_42.6,0,0.011,0.15,0.044694390162244
10,-0.1_38.5,0,0.009,0.104,0.0308123125543961
10,-0.1_38.55,0,0.011,0.162,0.0508716475555071
10,-0.1_38.6,0,0.012,0.164024999999998,0.0556266183568879
10,-0.1_38.75,0,0.012,0.168,0.050907983525464
10,-0.1_38.85,0,0.01,0.119,0.0368731147233584
10,-0.1_38.9,0,0.012,0.154,0.0461996788441983
10,-0.1_39.85,0.001,0.021,0.129,0.0349766062033778
10,-0.1_39.9,0,0.011,0.124,0.0386836420878674
10,-0.1_39.95,0.008,0.06,0.251,0.0656280045399866
10,-0.1_40,0,0.01,0.126,0.0408999627898088
10,-0.1_40.1,0,0.011,0.155,0.0468554591710035
10,-0.1_40.6,0,0.01,0.117,0.0357632496472964
10,-0.1_40.75,0,0.012,0.184,0.0556668760212135
10,-0.1_40.95,0,0.012,0.175024999999998,0.050461209366406
10,-0.25_38.45,0,0.012,0.143,0.0456969655915389
10,-0.25_38.5,0,0.011,0.129,0.038931714233164
10,-0.25_38.85,0,0.011,0.134,0.0398536316835239
10,-0.25_38.95,0,0.011,0.155,0.0468082819187276
10,-0.25_39,0,0.009,0.101,0.0310408587769932
10,-0.25_39.05,0,0.011,0.157,0.0440892745150356
10,-0.25_39.1,0,0.009,0.099,0.0302159923349649
10,-0.25_39.15,0.002,0.023,0.159,0.0427885408966185
10,-0.25_39.2,0,0.011,0.141,0.0429052472372621
10,-0.25_39.6,0,0.009,0.0950249999999978,0.0269472692649673
10,-0.25_39.65,0.002,0.028,0.158,0.0433846136723885
10,-0.25_39.7,0.01,0.063,0.325,0.0848081912700225
10,-0.25_39.75,0,0.01,0.103,0.0326035598961977
10,-0.25_39.8,0,0.011,0.158,0.0492207806350664
10,-0.25_39.95,0,0.012,0.17,0.051191244079119
10,-0.25_40.1,0,0.011,0.16,0.0504948140994639
10,-0.25_42.75,0,0.012,0.156,0.046704415484295
10,-0.2_38.5,0,0.011,0.14,0.0427633694542286
10,-0.2_38.7,0,0.01,0.11,0.0334347033688848
10,-0.2_38.85,0,0.011,0.159,0.0458004956675793
10,-0.2_38.9,0,0.013,0.197,0.0579510571761856
